name,type,town,hire_rate,positive_value_1,positive_value_2,positive_value_3,negative_value_1,negative_value_2,negative_value_3,industry,website
Company B,Finance,Ponce,Low,Professional,Convenient,Professional,Expensive,Complex,Noisy,Retail,Null
Company E,Finance,San Juan,High,Trustworthy,Innovative,Convenient,Slow,Slow,Inconvenient,Retail,Null
Company E,Technology,Bayamon,Low,Reliable,Professional,Reliable,Expensive,Inconvenient,Inconvenient,Finance,Null
Company B,Restaurant,Ponce,Low,Professional,Professional,Innovative,Complex,Noisy,Complex,Hospitality,Null
Company D,Technology,Ponce,Medium,Trustworthy,Professional,Reliable,Inconvenient,Inconvenient,Expensive,Finance,Null
Company E,Healthcare,Caguas,High,Professional,Professional,Reliable,Slow,Complex,Complex,Retail,https://www.example.com
Company B,Technology,Ponce,Medium,Convenient,Trustworthy,Professional,Expensive,Noisy,Slow,Hospitality,https://www.example.com
Company E,Finance,Guaynabo,Medium,Innovative,Convenient,Reliable,Complex,Inconvenient,Noisy,Healthcare,https://www.example.com
Company D,Finance,Guaynabo,Low,Professional,Professional,Innovative,Expensive,Noisy,Inconvenient,Hospitality,Null
Company D,Healthcare,Bayamon,High,Trustworthy,Professional,Trustworthy,Inconvenient,Noisy,Inconvenient,Retail,https://www.example.com
Company D,Restaurant,San Juan,High,Reliable,Convenient,Reliable,Inconvenient,Inconvenient,Complex,Technology,https://www.example.com
Company D,Healthcare,Bayamon,Low,Professional,Professional,Reliable,Expensive,Inconvenient,Complex,Technology,https://www.example.com
Company C,Technology,Caguas,Low,Innovative,Reliable,Professional,Slow,Noisy,Noisy,Healthcare,Null
Company D,Finance,Caguas,Low,Convenient,Convenient,Innovative,Expensive,Noisy,Slow,Healthcare,https://www.example.com
Company E,Technology,Ponce,Medium,Trustworthy,Reliable,Innovative,Expensive,Noisy,Expensive,Technology,Null
Company D,Finance,San Juan,Low,Trustworthy,Trustworthy,Convenient,Complex,Noisy,Slow,Hospitality,https://www.example.com
Company E,Healthcare,Ponce,High,Trustworthy,Trustworthy,Trustworthy,Slow,Inconvenient,Noisy,Technology,Null
Company E,Healthcare,Guaynabo,Medium,Professional,Innovative,Convenient,Inconvenient,Inconvenient,Inconvenient,Healthcare,Null
Company A,Technology,Bayamon,Medium,Convenient,Innovative,Trustworthy,Complex,Inconvenient,Expensive,Finance,Null
Company C,Finance,Guaynabo,High,Reliable,Innovative,Convenient,Expensive,Inconvenient,Complex,Retail,https://www.example.com
Company A,Healthcare,Guaynabo,High,Innovative,Trustworthy,Innovative,Inconvenient,Slow,Inconvenient,Healthcare,https://www.example.com
Company E,Technology,San Juan,High,Professional,Convenient,Professional,Complex,Complex,Inconvenient,Hospitality,https://www.example.com
Company C,Finance,Guaynabo,High,Reliable,Trustworthy,Trustworthy,Slow,Complex,Expensive,Technology,https://www.example.com
Company D,Technology,San Juan,Medium,Professional,Trustworthy,Convenient,Expensive,Noisy,Noisy,Hospitality,Null
Company D,Finance,Caguas,Low,Trustworthy,Convenient,Convenient,Slow,Slow,Expensive,Retail,https://www.example.com
Company D,Retail,Ponce,Medium,Trustworthy,Innovative,Innovative,Inconvenient,Slow,Inconvenient,Finance,https://www.example.com
Company E,Restaurant,San Juan,Medium,Convenient,Innovative,Convenient,Inconvenient,Inconvenient,Complex,Healthcare,https://www.example.com
Company E,Technology,Caguas,Low,Professional,Professional,Convenient,Complex,Slow,Slow,Technology,Null
Company E,Finance,Guaynabo,High,Convenient,Reliable,Reliable,Noisy,Expensive,Inconvenient,Technology,https://www.example.com
Company A,Finance,San Juan,Medium,Reliable,Innovative,Convenient,Inconvenient,Noisy,Inconvenient,Hospitality,Null
Company C,Finance,Guaynabo,Medium,Innovative,Convenient,Convenient,Noisy,Expensive,Complex,Hospitality,https://www.example.com
Company B,Retail,Bayamon,Medium,Reliable,Innovative,Trustworthy,Slow,Complex,Noisy,Healthcare,https://www.example.com
Company B,Finance,Caguas,High,Professional,Reliable,Professional,Slow,Inconvenient,Expensive,Retail,https://www.example.com
Company A,Retail,Caguas,Medium,Convenient,Convenient,Reliable,Inconvenient,Expensive,Slow,Retail,https://www.example.com
Company B,Technology,Ponce,Medium,Convenient,Convenient,Trustworthy,Expensive,Noisy,Slow,Technology,Null
Company D,Technology,Guaynabo,High,Convenient,Convenient,Innovative,Expensive,Noisy,Slow,Retail,https://www.example.com
Company A,Healthcare,Ponce,Low,Professional,Convenient,Innovative,Noisy,Slow,Inconvenient,Finance,https://www.example.com
Company C,Restaurant,Caguas,Medium,Convenient,Reliable,Professional,Expensive,Slow,Expensive,Retail,https://www.example.com
Company D,Finance,Ponce,High,Innovative,Trustworthy,Innovative,Noisy,Noisy,Slow,Retail,Null
Company A,Restaurant,Caguas,Medium,Trustworthy,Reliable,Professional,Inconvenient,Complex,Noisy,Finance,Null
Company B,Retail,San Juan,Medium,Convenient,Convenient,Convenient,Noisy,Expensive,Noisy,Healthcare,https://www.example.com
Company D,Finance,Guaynabo,Medium,Reliable,Trustworthy,Innovative,Noisy,Inconvenient,Slow,Finance,Null
Company D,Healthcare,Guaynabo,Medium,Reliable,Convenient,Reliable,Noisy,Inconvenient,Inconvenient,Retail,Null
Company B,Restaurant,Ponce,Low,Professional,Innovative,Innovative,Inconvenient,Complex,Complex,Healthcare,https://www.example.com
Company C,Restaurant,San Juan,High,Trustworthy,Professional,Professional,Complex,Inconvenient,Noisy,Hospitality,https://www.example.com
Company E,Healthcare,Caguas,Medium,Reliable,Innovative,Reliable,Complex,Inconvenient,Noisy,Finance,Null
Company E,Technology,Caguas,Medium,Professional,Innovative,Professional,Noisy,Noisy,Noisy,Finance,Null
Company A,Healthcare,Guaynabo,High,Reliable,Innovative,Professional,Complex,Slow,Expensive,Finance,Null
Company B,Healthcare,Ponce,High,Innovative,Trustworthy,Innovative,Complex,Inconvenient,Slow,Hospitality,Null
Company E,Finance,Bayamon,High,Reliable,Professional,Innovative,Noisy,Expensive,Noisy,Hospitality,Null
Company D,Finance,Guaynabo,High,Convenient,Innovative,Reliable,Complex,Slow,Slow,Healthcare,Null
Company A,Technology,Bayamon,High,Professional,Professional,Innovative,Complex,Noisy,Slow,Hospitality,Null
Company B,Restaurant,Ponce,High,Convenient,Convenient,Convenient,Slow,Complex,Complex,Finance,Null
Company C,Restaurant,Bayamon,High,Innovative,Reliable,Innovative,Inconvenient,Noisy,Noisy,Technology,Null
Company B,Restaurant,Caguas,Low,Professional,Trustworthy,Reliable,Inconvenient,Noisy,Slow,Finance,Null
Company E,Retail,Guaynabo,High,Professional,Innovative,Trustworthy,Expensive,Noisy,Noisy,Finance,https://www.example.com
Company B,Restaurant,Caguas,Medium,Convenient,Professional,Reliable,Complex,Complex,Slow,Finance,https://www.example.com
Company B,Healthcare,San Juan,Medium,Trustworthy,Reliable,Trustworthy,Slow,Inconvenient,Slow,Healthcare,https://www.example.com
Company B,Retail,San Juan,Low,Innovative,Convenient,Convenient,Slow,Slow,Noisy,Healthcare,https://www.example.com
Company A,Technology,Caguas,High,Convenient,Trustworthy,Innovative,Noisy,Expensive,Inconvenient,Healthcare,https://www.example.com
Company A,Restaurant,San Juan,Medium,Reliable,Innovative,Innovative,Inconvenient,Slow,Noisy,Retail,Null
Company A,Healthcare,San Juan,High,Professional,Professional,Innovative,Complex,Noisy,Complex,Healthcare,Null
Company B,Restaurant,San Juan,Medium,Professional,Trustworthy,Trustworthy,Inconvenient,Noisy,Noisy,Technology,https://www.example.com
Company A,Technology,Ponce,High,Trustworthy,Reliable,Innovative,Expensive,Noisy,Slow,Retail,Null
Company C,Healthcare,Caguas,Medium,Reliable,Convenient,Trustworthy,Slow,Inconvenient,Complex,Retail,Null
Company A,Restaurant,Guaynabo,Low,Trustworthy,Innovative,Innovative,Expensive,Expensive,Complex,Technology,Null
Company E,Retail,Bayamon,Medium,Trustworthy,Reliable,Trustworthy,Slow,Expensive,Slow,Finance,https://www.example.com
Company E,Retail,Bayamon,Medium,Innovative,Innovative,Innovative,Inconvenient,Inconvenient,Noisy,Technology,https://www.example.com
Company B,Healthcare,Caguas,Low,Reliable,Trustworthy,Reliable,Complex,Complex,Expensive,Healthcare,https://www.example.com
Company B,Restaurant,Ponce,High,Trustworthy,Reliable,Reliable,Noisy,Inconvenient,Inconvenient,Retail,Null
Company B,Restaurant,San Juan,Low,Trustworthy,Innovative,Professional,Expensive,Inconvenient,Slow,Technology,https://www.example.com
Company A,Healthcare,San Juan,Low,Trustworthy,Innovative,Convenient,Inconvenient,Inconvenient,Inconvenient,Healthcare,https://www.example.com
Company E,Finance,Bayamon,Medium,Trustworthy,Convenient,Innovative,Noisy,Noisy,Complex,Healthcare,https://www.example.com
Company B,Finance,Caguas,Low,Innovative,Convenient,Professional,Slow,Slow,Noisy,Finance,Null
Company E,Finance,Bayamon,Low,Trustworthy,Professional,Innovative,Inconvenient,Expensive,Noisy,Retail,https://www.example.com
Company C,Technology,San Juan,Medium,Trustworthy,Innovative,Convenient,Noisy,Expensive,Noisy,Healthcare,Null
Company D,Restaurant,Guaynabo,Low,Trustworthy,Convenient,Innovative,Complex,Expensive,Expensive,Hospitality,Null
Company E,Restaurant,Guaynabo,High,Professional,Reliable,Convenient,Inconvenient,Noisy,Noisy,Hospitality,https://www.example.com
Company A,Retail,San Juan,High,Reliable,Professional,Reliable,Noisy,Slow,Noisy,Hospitality,https://www.example.com
Company E,Finance,San Juan,High,Trustworthy,Professional,Trustworthy,Complex,Complex,Complex,Healthcare,https://www.example.com
Company B,Retail,Guaynabo,Low,Trustworthy,Professional,Innovative,Expensive,Inconvenient,Complex,Technology,Null
Company C,Retail,San Juan,Low,Reliable,Professional,Professional,Noisy,Expensive,Noisy,Healthcare,https://www.example.com
Company D,Retail,Guaynabo,High,Trustworthy,Reliable,Convenient,Inconvenient,Expensive,Complex,Finance,https://www.example.com
Company D,Restaurant,Bayamon,High,Reliable,Convenient,Trustworthy,Expensive,Complex,Inconvenient,Healthcare,Null
Company E,Finance,Ponce,High,Professional,Professional,Convenient,Expensive,Inconvenient,Complex,Healthcare,https://www.example.com
Company E,Retail,Guaynabo,Medium,Convenient,Trustworthy,Convenient,Expensive,Noisy,Complex,Retail,Null
Company D,Healthcare,Guaynabo,High,Reliable,Professional,Reliable,Complex,Slow,Expensive,Healthcare,Null
Company C,Restaurant,San Juan,Medium,Convenient,Trustworthy,Reliable,Expensive,Inconvenient,Complex,Hospitality,https://www.example.com
Company B,Healthcare,Caguas,Medium,Innovative,Professional,Innovative,Noisy,Expensive,Inconvenient,Retail,https://www.example.com
Company A,Healthcare,Guaynabo,Medium,Trustworthy,Trustworthy,Trustworthy,Inconvenient,Noisy,Inconvenient,Hospitality,Null
Company D,Finance,Ponce,Medium,Reliable,Trustworthy,Reliable,Slow,Inconvenient,Expensive,Healthcare,Null
Company A,Retail,Bayamon,High,Innovative,Reliable,Reliable,Inconvenient,Complex,Slow,Hospitality,Null
Company C,Restaurant,Guaynabo,Medium,Reliable,Reliable,Trustworthy,Noisy,Slow,Inconvenient,Technology,Null
Company B,Healthcare,Guaynabo,Medium,Trustworthy,Convenient,Professional,Noisy,Complex,Inconvenient,Finance,Null
Company B,Restaurant,Ponce,Low,Reliable,Convenient,Trustworthy,Noisy,Inconvenient,Expensive,Technology,https://www.example.com
Company E,Technology,Bayamon,Low,Professional,Convenient,Innovative,Expensive,Slow,Slow,Healthcare,Null
Company C,Healthcare,Caguas,High,Professional,Reliable,Innovative,Noisy,Slow,Slow,Healthcare,https://www.example.com
Company B,Technology,Guaynabo,Medium,Trustworthy,Professional,Innovative,Slow,Expensive,Complex,Retail,Null
Company B,Restaurant,Guaynabo,Low,Professional,Professional,Convenient,Expensive,Expensive,Slow,Finance,https://www.example.com
Company A,Technology,Guaynabo,High,Reliable,Reliable,Convenient,Slow,Complex,Slow,Finance,https://www.example.com
Company B,Retail,Guaynabo,Low,Reliable,Reliable,Reliable,Complex,Expensive,Complex,Technology,Null
Company A,Technology,Caguas,Low,Convenient,Professional,Reliable,Complex,Slow,Slow,Finance,https://www.example.com
Company B,Healthcare,Bayamon,Medium,Reliable,Trustworthy,Reliable,Complex,Inconvenient,Expensive,Retail,https://www.example.com
Company A,Retail,Ponce,Medium,Reliable,Reliable,Trustworthy,Noisy,Inconvenient,Slow,Finance,https://www.example.com
Company D,Finance,Guaynabo,Low,Convenient,Convenient,Innovative,Inconvenient,Expensive,Slow,Healthcare,https://www.example.com
Company E,Retail,Caguas,Medium,Professional,Trustworthy,Professional,Slow,Inconvenient,Complex,Hospitality,Null
Company E,Retail,Guaynabo,Medium,Professional,Innovative,Reliable,Slow,Slow,Complex,Healthcare,https://www.example.com
Company B,Finance,Guaynabo,Medium,Reliable,Professional,Innovative,Noisy,Inconvenient,Inconvenient,Healthcare,Null
Company E,Technology,Bayamon,High,Reliable,Trustworthy,Professional,Slow,Slow,Slow,Finance,Null
Company C,Healthcare,Guaynabo,Medium,Professional,Professional,Trustworthy,Slow,Inconvenient,Expensive,Healthcare,https://www.example.com
Company B,Technology,San Juan,Medium,Innovative,Innovative,Convenient,Expensive,Complex,Expensive,Healthcare,Null
Company C,Healthcare,San Juan,Low,Professional,Innovative,Reliable,Noisy,Expensive,Expensive,Retail,Null
Company D,Technology,Guaynabo,High,Convenient,Convenient,Reliable,Complex,Complex,Slow,Finance,https://www.example.com
Company B,Healthcare,Caguas,Medium,Convenient,Professional,Convenient,Complex,Noisy,Expensive,Finance,Null
Company D,Retail,San Juan,High,Convenient,Professional,Convenient,Complex,Complex,Slow,Finance,https://www.example.com
Company B,Restaurant,Caguas,High,Convenient,Trustworthy,Convenient,Inconvenient,Noisy,Inconvenient,Healthcare,Null
Company B,Technology,Ponce,Low,Professional,Professional,Professional,Slow,Noisy,Complex,Retail,https://www.example.com
Company D,Retail,Guaynabo,High,Convenient,Innovative,Convenient,Slow,Inconvenient,Noisy,Technology,Null
Company C,Finance,Ponce,High,Convenient,Trustworthy,Convenient,Expensive,Inconvenient,Expensive,Hospitality,https://www.example.com
Company A,Retail,Guaynabo,Low,Professional,Trustworthy,Professional,Slow,Complex,Expensive,Finance,Null
Company E,Retail,Bayamon,Medium,Trustworthy,Innovative,Innovative,Complex,Expensive,Expensive,Finance,https://www.example.com
Company B,Retail,Caguas,Medium,Innovative,Trustworthy,Convenient,Inconvenient,Complex,Noisy,Technology,Null
Company A,Healthcare,Ponce,Medium,Professional,Innovative,Convenient,Expensive,Complex,Inconvenient,Hospitality,Null
Company A,Technology,Guaynabo,Low,Reliable,Convenient,Innovative,Noisy,Expensive,Inconvenient,Healthcare,https://www.example.com
Company A,Retail,Ponce,High,Reliable,Professional,Innovative,Slow,Noisy,Slow,Technology,https://www.example.com
Company A,Retail,Guaynabo,Medium,Innovative,Convenient,Innovative,Expensive,Inconvenient,Expensive,Hospitality,https://www.example.com
Company C,Retail,Ponce,Medium,Professional,Professional,Professional,Expensive,Slow,Inconvenient,Technology,https://www.example.com
Company A,Healthcare,Bayamon,High,Reliable,Professional,Convenient,Inconvenient,Complex,Complex,Finance,Null
Company E,Finance,Guaynabo,High,Reliable,Professional,Convenient,Noisy,Inconvenient,Noisy,Retail,Null
Company B,Finance,Caguas,High,Innovative,Professional,Reliable,Noisy,Complex,Inconvenient,Finance,https://www.example.com
Company B,Finance,San Juan,Medium,Trustworthy,Trustworthy,Professional,Expensive,Noisy,Noisy,Retail,Null
Company E,Restaurant,Ponce,Medium,Reliable,Trustworthy,Professional,Complex,Slow,Complex,Finance,https://www.example.com
Company A,Finance,Ponce,High,Convenient,Professional,Professional,Noisy,Inconvenient,Noisy,Hospitality,https://www.example.com
Company D,Finance,San Juan,Medium,Innovative,Professional,Reliable,Inconvenient,Noisy,Inconvenient,Healthcare,Null
Company E,Technology,Caguas,Low,Professional,Professional,Innovative,Slow,Expensive,Slow,Healthcare,Null
Company A,Restaurant,San Juan,High,Professional,Innovative,Reliable,Noisy,Complex,Complex,Retail,Null
Company C,Healthcare,Guaynabo,Low,Convenient,Professional,Trustworthy,Expensive,Noisy,Noisy,Finance,Null
Company B,Retail,Guaynabo,High,Professional,Reliable,Innovative,Slow,Expensive,Expensive,Technology,https://www.example.com
Company E,Restaurant,Bayamon,Low,Professional,Convenient,Trustworthy,Inconvenient,Expensive,Noisy,Healthcare,https://www.example.com
Company E,Finance,San Juan,High,Reliable,Reliable,Trustworthy,Expensive,Inconvenient,Complex,Healthcare,Null
Company C,Restaurant,Ponce,Low,Reliable,Innovative,Convenient,Inconvenient,Inconvenient,Slow,Retail,https://www.example.com
Company E,Retail,Guaynabo,High,Professional,Innovative,Trustworthy,Complex,Slow,Inconvenient,Retail,Null
Company D,Healthcare,Guaynabo,Low,Trustworthy,Trustworthy,Professional,Expensive,Expensive,Inconvenient,Healthcare,https://www.example.com
Company A,Restaurant,Guaynabo,High,Trustworthy,Professional,Trustworthy,Noisy,Complex,Complex,Hospitality,Null
Company D,Retail,San Juan,Low,Convenient,Convenient,Reliable,Slow,Slow,Inconvenient,Technology,https://www.example.com
Company A,Healthcare,Bayamon,Low,Innovative,Professional,Trustworthy,Complex,Inconvenient,Noisy,Finance,Null
Company B,Retail,Caguas,Medium,Innovative,Convenient,Professional,Slow,Complex,Complex,Healthcare,https://www.example.com
Company B,Technology,Bayamon,High,Convenient,Convenient,Convenient,Expensive,Inconvenient,Complex,Retail,https://www.example.com
Company B,Healthcare,Caguas,High,Professional,Reliable,Professional,Complex,Complex,Expensive,Finance,Null
Company D,Finance,San Juan,Medium,Innovative,Innovative,Professional,Noisy,Noisy,Slow,Healthcare,https://www.example.com
Company B,Technology,Bayamon,High,Trustworthy,Innovative,Trustworthy,Inconvenient,Inconvenient,Slow,Finance,https://www.example.com
Company D,Restaurant,Bayamon,Medium,Convenient,Convenient,Innovative,Noisy,Complex,Complex,Finance,Null
Company A,Finance,Guaynabo,Low,Trustworthy,Convenient,Innovative,Noisy,Slow,Expensive,Finance,Null
Company B,Retail,San Juan,Low,Convenient,Innovative,Trustworthy,Noisy,Complex,Noisy,Healthcare,https://www.example.com
Company E,Retail,Caguas,High,Innovative,Trustworthy,Professional,Slow,Noisy,Expensive,Retail,Null
Company A,Technology,Caguas,Low,Trustworthy,Reliable,Convenient,Complex,Slow,Inconvenient,Retail,https://www.example.com
Company B,Technology,Guaynabo,High,Reliable,Trustworthy,Professional,Noisy,Complex,Inconvenient,Technology,https://www.example.com
Company B,Technology,Bayamon,High,Professional,Professional,Reliable,Noisy,Expensive,Expensive,Hospitality,Null
Company B,Technology,San Juan,Low,Reliable,Reliable,Convenient,Complex,Noisy,Slow,Finance,Null
Company E,Healthcare,Bayamon,Medium,Trustworthy,Trustworthy,Professional,Noisy,Slow,Complex,Finance,https://www.example.com
Company B,Retail,Ponce,High,Convenient,Trustworthy,Trustworthy,Complex,Inconvenient,Expensive,Retail,https://www.example.com
Company E,Finance,Ponce,High,Trustworthy,Convenient,Professional,Complex,Complex,Slow,Technology,https://www.example.com
Company C,Restaurant,San Juan,Medium,Reliable,Convenient,Reliable,Expensive,Slow,Slow,Finance,https://www.example.com
Company D,Finance,Guaynabo,Low,Reliable,Reliable,Innovative,Complex,Noisy,Slow,Finance,https://www.example.com
Company A,Healthcare,San Juan,Medium,Trustworthy,Trustworthy,Trustworthy,Noisy,Noisy,Complex,Technology,https://www.example.com
Company E,Restaurant,Guaynabo,Low,Professional,Professional,Professional,Complex,Slow,Expensive,Hospitality,https://www.example.com
Company D,Restaurant,Caguas,High,Professional,Convenient,Convenient,Expensive,Noisy,Inconvenient,Hospitality,Null
Company B,Restaurant,Bayamon,Medium,Convenient,Trustworthy,Trustworthy,Inconvenient,Complex,Expensive,Healthcare,Null
Company B,Restaurant,Ponce,Medium,Trustworthy,Innovative,Reliable,Complex,Noisy,Inconvenient,Technology,Null
Company E,Restaurant,Guaynabo,Medium,Professional,Trustworthy,Reliable,Expensive,Complex,Inconvenient,Retail,https://www.example.com
Company D,Technology,Bayamon,Low,Innovative,Convenient,Reliable,Inconvenient,Noisy,Expensive,Technology,Null
Company B,Technology,Ponce,High,Professional,Trustworthy,Reliable,Expensive,Complex,Inconvenient,Technology,https://www.example.com
Company A,Restaurant,Guaynabo,High,Convenient,Convenient,Professional,Noisy,Slow,Inconvenient,Finance,Null
Company A,Restaurant,Caguas,Medium,Trustworthy,Convenient,Trustworthy,Noisy,Inconvenient,Inconvenient,Technology,https://www.example.com
Company A,Technology,Guaynabo,High,Reliable,Convenient,Innovative,Inconvenient,Inconvenient,Noisy,Healthcare,https://www.example.com
Company E,Finance,Guaynabo,High,Trustworthy,Trustworthy,Innovative,Expensive,Complex,Inconvenient,Finance,https://www.example.com
Company C,Finance,San Juan,Medium,Reliable,Trustworthy,Convenient,Complex,Noisy,Slow,Technology,Null
Company E,Finance,Guaynabo,Low,Innovative,Professional,Innovative,Expensive,Complex,Expensive,Finance,Null
Company E,Technology,Guaynabo,Low,Convenient,Reliable,Reliable,Noisy,Noisy,Noisy,Retail,https://www.example.com
Company D,Finance,Bayamon,Low,Convenient,Reliable,Professional,Slow,Complex,Expensive,Technology,https://www.example.com
Company E,Retail,Caguas,Medium,Innovative,Innovative,Convenient,Complex,Slow,Expensive,Technology,https://www.example.com
Company A,Finance,Caguas,High,Professional,Professional,Reliable,Inconvenient,Complex,Slow,Healthcare,https://www.example.com
Company E,Technology,Ponce,Low,Professional,Convenient,Trustworthy,Complex,Complex,Expensive,Retail,Null
Company B,Healthcare,San Juan,High,Innovative,Convenient,Convenient,Complex,Expensive,Complex,Hospitality,https://www.example.com
Company C,Restaurant,San Juan,Medium,Innovative,Convenient,Reliable,Slow,Noisy,Complex,Hospitality,https://www.example.com
Company B,Technology,Caguas,High,Professional,Reliable,Professional,Slow,Inconvenient,Noisy,Technology,Null
Company C,Healthcare,San Juan,Medium,Convenient,Convenient,Trustworthy,Complex,Complex,Slow,Finance,https://www.example.com
Company B,Finance,Guaynabo,Medium,Professional,Convenient,Trustworthy,Expensive,Slow,Inconvenient,Healthcare,https://www.example.com
Company C,Healthcare,Bayamon,Medium,Trustworthy,Innovative,Trustworthy,Inconvenient,Slow,Expensive,Technology,https://www.example.com
Company A,Retail,Caguas,Low,Professional,Convenient,Convenient,Slow,Expensive,Complex,Technology,Null
Company D,Technology,Caguas,Medium,Trustworthy,Reliable,Trustworthy,Expensive,Expensive,Slow,Healthcare,Null
Company C,Finance,Guaynabo,Low,Convenient,Professional,Trustworthy,Expensive,Slow,Noisy,Retail,https://www.example.com
Company A,Healthcare,Guaynabo,High,Professional,Convenient,Reliable,Noisy,Slow,Noisy,Hospitality,Null
Company D,Technology,San Juan,High,Convenient,Reliable,Reliable,Inconvenient,Expensive,Slow,Retail,Null
Company E,Retail,Bayamon,Medium,Innovative,Reliable,Professional,Slow,Inconvenient,Slow,Finance,Null
Company E,Finance,Ponce,Medium,Innovative,Reliable,Convenient,Noisy,Noisy,Expensive,Retail,Null
Company E,Technology,Bayamon,Low,Convenient,Professional,Trustworthy,Expensive,Slow,Noisy,Healthcare,Null
Company B,Healthcare,Guaynabo,Medium,Convenient,Convenient,Reliable,Slow,Inconvenient,Inconvenient,Retail,Null
Company E,Healthcare,San Juan,High,Reliable,Convenient,Trustworthy,Expensive,Inconvenient,Inconvenient,Retail,Null
Company B,Restaurant,Bayamon,Medium,Professional,Innovative,Convenient,Inconvenient,Inconvenient,Noisy,Finance,https://www.example.com
Company B,Restaurant,Caguas,Medium,Convenient,Trustworthy,Innovative,Slow,Complex,Expensive,Hospitality,Null
Company D,Technology,Ponce,High,Trustworthy,Convenient,Reliable,Inconvenient,Noisy,Slow,Healthcare,https://www.example.com
Company C,Healthcare,Guaynabo,Low,Reliable,Innovative,Convenient,Inconvenient,Inconvenient,Inconvenient,Technology,https://www.example.com
Company A,Retail,Caguas,Medium,Reliable,Reliable,Professional,Complex,Slow,Slow,Finance,https://www.example.com
Company B,Restaurant,Guaynabo,Medium,Trustworthy,Reliable,Trustworthy,Expensive,Inconvenient,Inconvenient,Retail,https://www.example.com
Company A,Restaurant,Bayamon,Medium,Trustworthy,Reliable,Reliable,Slow,Slow,Expensive,Hospitality,Null
Company C,Retail,Guaynabo,Medium,Trustworthy,Convenient,Innovative,Noisy,Slow,Noisy,Retail,Null
Company D,Finance,Bayamon,High,Reliable,Professional,Innovative,Noisy,Slow,Complex,Technology,Null
Company E,Restaurant,Guaynabo,High,Professional,Professional,Trustworthy,Noisy,Inconvenient,Noisy,Healthcare,https://www.example.com
Company E,Retail,Caguas,Medium,Trustworthy,Reliable,Professional,Inconvenient,Noisy,Complex,Healthcare,https://www.example.com
Company C,Retail,Guaynabo,Medium,Convenient,Trustworthy,Professional,Expensive,Slow,Noisy,Hospitality,https://www.example.com
Company D,Technology,Caguas,High,Reliable,Professional,Innovative,Noisy,Expensive,Noisy,Hospitality,https://www.example.com
Company E,Technology,Bayamon,Low,Professional,Innovative,Professional,Slow,Complex,Complex,Finance,Null
Company A,Healthcare,Bayamon,Low,Reliable,Reliable,Trustworthy,Expensive,Slow,Slow,Hospitality,https://www.example.com
Company C,Technology,San Juan,Medium,Reliable,Convenient,Trustworthy,Expensive,Slow,Expensive,Finance,Null
Company C,Finance,Caguas,Medium,Convenient,Innovative,Innovative,Inconvenient,Inconvenient,Noisy,Hospitality,https://www.example.com
Company B,Technology,Guaynabo,High,Reliable,Trustworthy,Professional,Complex,Complex,Expensive,Finance,Null
Company D,Healthcare,Guaynabo,High,Reliable,Trustworthy,Professional,Slow,Inconvenient,Complex,Retail,Null
Company E,Restaurant,Bayamon,High,Reliable,Convenient,Innovative,Noisy,Inconvenient,Noisy,Healthcare,https://www.example.com
Company D,Retail,Ponce,Medium,Convenient,Reliable,Innovative,Expensive,Inconvenient,Complex,Finance,Null
Company D,Retail,Bayamon,Medium,Reliable,Convenient,Trustworthy,Slow,Inconvenient,Expensive,Technology,Null
Company B,Restaurant,Caguas,High,Innovative,Innovative,Trustworthy,Complex,Inconvenient,Inconvenient,Retail,https://www.example.com
Company C,Finance,Caguas,High,Trustworthy,Innovative,Reliable,Slow,Slow,Expensive,Technology,https://www.example.com
Company A,Restaurant,Bayamon,High,Trustworthy,Convenient,Convenient,Expensive,Inconvenient,Slow,Hospitality,https://www.example.com
Company A,Restaurant,Caguas,High,Convenient,Innovative,Reliable,Complex,Complex,Expensive,Healthcare,https://www.example.com
Company C,Restaurant,Guaynabo,Low,Innovative,Trustworthy,Convenient,Complex,Noisy,Noisy,Healthcare,Null
Company D,Technology,Guaynabo,Low,Innovative,Professional,Reliable,Noisy,Complex,Complex,Hospitality,https://www.example.com
Company B,Healthcare,Bayamon,High,Professional,Trustworthy,Reliable,Expensive,Noisy,Complex,Retail,Null
Company E,Healthcare,San Juan,Medium,Professional,Reliable,Innovative,Inconvenient,Slow,Inconvenient,Retail,Null
Company D,Technology,Ponce,Low,Innovative,Convenient,Convenient,Expensive,Slow,Slow,Technology,https://www.example.com
Company B,Retail,Caguas,Medium,Trustworthy,Trustworthy,Innovative,Slow,Expensive,Slow,Healthcare,https://www.example.com
Company A,Technology,Caguas,High,Convenient,Reliable,Professional,Expensive,Slow,Complex,Technology,Null
Company A,Retail,Ponce,Medium,Innovative,Professional,Reliable,Inconvenient,Inconvenient,Slow,Finance,Null
Company A,Restaurant,Caguas,Low,Professional,Convenient,Convenient,Slow,Complex,Expensive,Finance,https://www.example.com
Company E,Finance,San Juan,Medium,Trustworthy,Professional,Convenient,Inconvenient,Noisy,Complex,Healthcare,https://www.example.com
Company A,Healthcare,Guaynabo,High,Convenient,Trustworthy,Reliable,Expensive,Noisy,Inconvenient,Healthcare,https://www.example.com
Company D,Retail,Bayamon,Low,Trustworthy,Convenient,Convenient,Expensive,Noisy,Complex,Technology,Null
